"date","state","mask"
2020-02-04,"AL",0
2020-02-05,"AL",0
2020-02-06,"AL",0
2020-02-07,"AL",0
2020-02-08,"AL",0
2020-02-09,"AL",0
2020-02-10,"AL",0
2020-02-11,"AL",0
2020-02-12,"AL",0
2020-02-13,"AL",0
2020-02-14,"AL",0
2020-02-15,"AL",0
2020-02-16,"AL",0
2020-02-17,"AL",0
2020-02-18,"AL",0
2020-02-19,"AL",0
2020-02-20,"AL",0
2020-02-21,"AL",0
2020-02-22,"AL",0
2020-02-23,"AL",0
2020-02-24,"AL",0
2020-02-25,"AL",0
2020-02-26,"AL",0
2020-02-27,"AL",0
2020-02-28,"AL",0
2020-02-29,"AL",0
2020-03-01,"AL",0
2020-03-02,"AL",0
2020-03-03,"AL",0
2020-03-04,"AL",0
2020-03-05,"AL",0
2020-03-06,"AL",0
2020-03-07,"AL",0
2020-03-08,"AL",0
2020-03-09,"AL",0
2020-03-10,"AL",1e-04
2020-03-11,"AL",2e-04
2020-03-12,"AL",3e-04
2020-03-13,"AL",7e-04
2020-03-14,"AL",0.0016
2020-03-15,"AL",0.0034
2020-03-16,"AL",0.007
2020-03-17,"AL",0.0135
2020-03-18,"AL",0.024
2020-03-19,"AL",0.0398
2020-03-20,"AL",0.0614
2020-03-21,"AL",0.0879
2020-03-22,"AL",0.117
2020-03-23,"AL",0.1443
2020-03-24,"AL",0.165
2020-03-25,"AL",0.1747
2020-03-26,"AL",0.1844
2020-03-27,"AL",0.1941
2020-03-28,"AL",0.2037
2020-03-29,"AL",0.2133
2020-03-30,"AL",0.2229
2020-03-31,"AL",0.2325
2020-04-01,"AL",0.2421
2020-04-02,"AL",0.2517
2020-04-03,"AL",0.2612
2020-04-04,"AL",0.2707
2020-04-05,"AL",0.2803
2020-04-06,"AL",0.2898
2020-04-07,"AL",0.2993
2020-04-08,"AL",0.3088
2020-04-09,"AL",0.3181
2020-04-10,"AL",0.3272
2020-04-11,"AL",0.336
2020-04-12,"AL",0.3445
2020-04-13,"AL",0.3525
2020-04-14,"AL",0.36
2020-04-15,"AL",0.3669
2020-04-16,"AL",0.3731
2020-04-17,"AL",0.3785
2020-04-18,"AL",0.3829
2020-04-19,"AL",0.3867
2020-04-20,"AL",0.3899
2020-04-21,"AL",0.3928
2020-04-22,"AL",0.3955
2020-04-23,"AL",0.3982
2020-04-24,"AL",0.4011
2020-04-25,"AL",0.4044
2020-04-26,"AL",0.408
2020-04-27,"AL",0.4122
2020-04-28,"AL",0.4169
2020-04-29,"AL",0.4223
2020-04-30,"AL",0.4279
2020-05-01,"AL",0.4337
2020-05-02,"AL",0.4393
2020-05-03,"AL",0.4445
2020-05-04,"AL",0.4491
2020-05-05,"AL",0.4528
2020-05-06,"AL",0.4553
2020-05-07,"AL",0.4568
2020-05-08,"AL",0.4573
2020-05-09,"AL",0.457
2020-05-10,"AL",0.4556
2020-05-11,"AL",0.4535
2020-05-12,"AL",0.4506
2020-05-13,"AL",0.447
2020-05-14,"AL",0.4429
2020-05-15,"AL",0.4381
2020-05-16,"AL",0.4327
2020-05-17,"AL",0.4269
2020-05-18,"AL",0.4204
2020-05-19,"AL",0.4133
2020-05-20,"AL",0.4055
2020-05-21,"AL",0.3972
2020-05-22,"AL",0.3885
2020-05-23,"AL",0.3795
2020-05-24,"AL",0.3705
2020-05-25,"AL",0.3617
2020-05-26,"AL",0.3533
2020-05-27,"AL",0.3455
2020-05-28,"AL",0.3384
2020-05-29,"AL",0.3321
2020-05-30,"AL",0.3266
2020-05-31,"AL",0.3221
2020-06-01,"AL",0.3188
2020-06-02,"AL",0.3167
2020-06-03,"AL",0.3161
2020-06-04,"AL",0.3168
2020-06-05,"AL",0.3189
2020-06-06,"AL",0.3224
2020-06-07,"AL",0.3271
2020-06-08,"AL",0.3327
2020-06-09,"AL",0.3393
2020-06-10,"AL",0.3465
2020-06-11,"AL",0.3538
2020-06-12,"AL",0.3608
2020-06-13,"AL",0.3668
2020-06-14,"AL",0.3716
2020-06-15,"AL",0.3749
2020-06-16,"AL",0.3767
2020-06-17,"AL",0.3769
2020-06-18,"AL",0.3757
2020-06-19,"AL",0.3738
2020-06-20,"AL",0.3715
2020-06-21,"AL",0.3692
2020-06-22,"AL",0.3675
2020-06-23,"AL",0.3669
2020-06-24,"AL",0.368
2020-06-25,"AL",0.3707
2020-06-26,"AL",0.3749
2020-06-27,"AL",0.3806
2020-06-28,"AL",0.3879
2020-06-29,"AL",0.3966
2020-06-30,"AL",0.4066
2020-07-01,"AL",0.4176
2020-07-02,"AL",0.4297
2020-07-03,"AL",0.4426
2020-07-04,"AL",0.4563
2020-07-05,"AL",0.4704
2020-07-06,"AL",0.4851
2020-07-07,"AL",0.5004
2020-07-08,"AL",0.5164
2020-07-09,"AL",0.5329
2020-07-10,"AL",0.5495
2020-07-11,"AL",0.5661
2020-07-12,"AL",0.5822
2020-07-13,"AL",0.5973
2020-07-14,"AL",0.6111
2020-07-15,"AL",0.6229
2020-07-16,"AL",0.6327
2020-07-17,"AL",0.6405
2020-07-18,"AL",0.6461
2020-07-19,"AL",0.6497
2020-07-20,"AL",0.6514
2020-07-21,"AL",0.6514
2020-07-22,"AL",0.6501
2020-07-23,"AL",0.6477
2020-07-24,"AL",0.6445
2020-07-25,"AL",0.6408
2020-07-26,"AL",0.6369
2020-07-27,"AL",0.633
2020-07-28,"AL",0.6291
2020-07-29,"AL",0.6254
2020-07-30,"AL",0.6219
2020-07-31,"AL",0.6187
2020-08-01,"AL",0.6158
2020-08-02,"AL",0.6132
2020-08-03,"AL",0.6109
2020-08-04,"AL",0.6087
2020-08-05,"AL",0.6065
2020-08-06,"AL",0.6043
2020-08-07,"AL",0.6017
2020-08-08,"AL",0.5987
2020-08-09,"AL",0.5953
2020-08-10,"AL",0.5915
2020-08-11,"AL",0.5873
2020-08-12,"AL",0.5829
2020-08-13,"AL",0.5783
2020-08-14,"AL",0.574
2020-08-15,"AL",0.57
2020-08-16,"AL",0.5666
2020-08-17,"AL",0.5639
2020-08-18,"AL",0.5623
2020-08-19,"AL",0.5618
2020-08-20,"AL",0.5624
2020-08-21,"AL",0.5638
2020-08-22,"AL",0.5661
2020-08-23,"AL",0.5689
2020-08-24,"AL",0.5722
2020-08-25,"AL",0.5756
2020-08-26,"AL",0.5789
2020-08-27,"AL",0.5821
2020-08-28,"AL",0.5849
2020-08-29,"AL",0.5874
2020-08-30,"AL",0.5896
