"date","state","percent_positive","unweighted_ili","ILIp"
2019-09-29,"AL",2.93,1.97633,0.00057906469
2019-09-29,"AK",NA,1.04516,NA
2019-09-29,"AZ",0.72,1.0662,7.67664e-05
2019-09-29,"AR",0,1.19323,0
2019-09-29,"CA",1.58,1.36062,0.00021497796
2019-09-29,"CO",0.44,2.48564,0.00010936816
2019-09-29,"CT",0.21,1.24979,2.624559e-05
2019-09-29,"DE",2.72,0,0
2019-09-29,"FL",NA,NA,NA
2019-09-29,"GA",2.75,2.36053,0.00064914575
2019-09-29,"HI",3.55,2.01058,0.0007137559
2019-09-29,"ID",0,0.615385,0
2019-09-29,"IL",0.97,1.41375,0.00013713375
2019-09-29,"IN",0.6,0.949495,5.69697e-05
2019-09-29,"IA",0,0.875912,0
2019-09-29,"KS",0,0.89368,0
2019-09-29,"KY",0.26,1.24969,3.249194e-05
2019-09-29,"LA",3.61,4.23833,0.00153003713
2019-09-29,"ME",0,0.822834,0
2019-09-29,"MD",2.94,1.26484,0.00037186296
2019-09-29,"MA",0.42,0.934375,3.924375e-05
2019-09-29,"MI",0.78,0.797603,6.2213034e-05
2019-09-29,"MN",0,2.42367,0
2019-09-29,"MS",2.27,1.93891,0.00044013257
2019-09-29,"MO",0.42,0.447427,1.8791934e-05
2019-09-29,"MT",2.02,1.00762,0.00020353924
2019-09-29,"NE",0,1.62049,0
2019-09-29,"NV",NA,0.867925,NA
2019-09-29,"NH",NA,0.401786,NA
2019-09-29,"NJ",NA,2.00734,NA
2019-09-29,"NM",0.4,0.91895,3.6758e-05
2019-09-29,"NY",0.3,0.883474,2.650422e-05
2019-09-29,"NC",0.96,1.08263,0.00010393248
2019-09-29,"ND",1.69,0.920162,0.000155507378
2019-09-29,"OH",0.3,0.616381,1.849143e-05
2019-09-29,"OK",0,1.35709,0
2019-09-29,"OR",1.43,1.0924,0.0001562132
2019-09-29,"PA",0,0.922017,0
2019-09-29,"RI",NA,0.140801,NA
2019-09-29,"SC",0,2.03774,0
2019-09-29,"SD",0,0.665014,0
2019-09-29,"TN",0,1.59221,0
2019-09-29,"TX",3.08,2.1399,0.0006590892
2019-09-29,"UT",2.44,1.48896,0.00036330624
2019-09-29,"VT",0,0.867052,0
2019-09-29,"VA",0,1.70235,0
2019-09-29,"WA",1.56,0.968318,0.000151057608
2019-09-29,"WV",0,0.854292,0
2019-09-29,"WI",0.48,0.898354,4.3120992e-05
2019-09-29,"WY",NA,1.1875,NA
2019-10-06,"AL",3.41,1.8918,0.0006451038
2019-10-06,"AK",NA,2.3322,NA
2019-10-06,"AZ",2.93,1.19067,0.00034886631
2019-10-06,"AR",2.13,1.91505,0.00040790565
2019-10-06,"CA",1.96,1.51557,0.00029705172
2019-10-06,"CO",2.27,2.51736,0.00057144072
2019-10-06,"CT",0,1.57002,0
2019-10-06,"DE",1.83,0.0737463,1.34955729e-05
2019-10-06,"FL",NA,NA,NA
2019-10-06,"GA",3.09,2.44792,0.00075640728
2019-10-06,"HI",1.8,2.00793,0.0003614274
2019-10-06,"ID",5,0.551572,0.000275786
2019-10-06,"IL",2.68,1.63321,0.00043770028
2019-10-06,"IN",0.55,1.11703,6.143665e-05
2019-10-06,"IA",1.7,0.788927,0.00013411759
2019-10-06,"KS",0,1.24696,0
