"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"1","States","Alabama",2019,40,NA,1.97633,NA,NA,NA,NA,NA,NA,937,101,47411,2019-09-29
"2","States","Alaska",2019,40,NA,1.04516,NA,NA,NA,NA,NA,NA,53,18,5071,2019-09-29
"3","States","Arizona",2019,40,NA,1.0662,NA,NA,NA,NA,NA,NA,129,27,12099,2019-09-29
"4","States","Arkansas",2019,40,NA,1.19323,NA,NA,NA,NA,NA,NA,62,15,5196,2019-09-29
"5","States","California",2019,40,NA,1.36062,NA,NA,NA,NA,NA,NA,770,119,56592,2019-09-29
"6","States","Colorado",2019,40,NA,2.48564,NA,NA,NA,NA,NA,NA,870,69,35001,2019-09-29
"7","States","Connecticut",2019,40,NA,1.24979,NA,NA,NA,NA,NA,NA,512,76,40967,2019-09-29
"8","States","Delaware",2019,40,NA,0,NA,NA,NA,NA,NA,NA,0,6,1260,2019-09-29
"9","States","District of Columbia",2019,40,NA,0.563736,NA,NA,NA,NA,NA,NA,67,4,11885,2019-09-29
"10","States","Florida",2019,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-29
"11","States","Georgia",2019,40,NA,2.36053,NA,NA,NA,NA,NA,NA,1954,94,82778,2019-09-29
"12","States","Hawaii",2019,40,NA,2.01058,NA,NA,NA,NA,NA,NA,76,21,3780,2019-09-29
"13","States","Idaho",2019,40,NA,0.615385,NA,NA,NA,NA,NA,NA,12,7,1950,2019-09-29
"14","States","Illinois",2019,40,NA,1.41375,NA,NA,NA,NA,NA,NA,1153,181,81556,2019-09-29
"15","States","Indiana",2019,40,NA,0.949495,NA,NA,NA,NA,NA,NA,47,25,4950,2019-09-29
"16","States","Iowa",2019,40,NA,0.875912,NA,NA,NA,NA,NA,NA,60,19,6850,2019-09-29
"17","States","Kansas",2019,40,NA,0.89368,NA,NA,NA,NA,NA,NA,126,30,14099,2019-09-29
"18","States","Kentucky",2019,40,NA,1.24969,NA,NA,NA,NA,NA,NA,149,33,11923,2019-09-29
"19","States","Louisiana",2019,40,NA,4.23665,NA,NA,NA,NA,NA,NA,2346,100,55374,2019-09-29
"20","States","Maine",2019,40,NA,0.822834,NA,NA,NA,NA,NA,NA,128,54,15556,2019-09-29
"21","States","Maryland",2019,40,NA,1.26484,NA,NA,NA,NA,NA,NA,667,74,52734,2019-09-29
"22","States","Massachusetts",2019,40,NA,0.934375,NA,NA,NA,NA,NA,NA,555,72,59398,2019-09-29
"23","States","Michigan",2019,40,NA,0.797603,NA,NA,NA,NA,NA,NA,181,73,22693,2019-09-29
"24","States","Minnesota",2019,40,NA,2.42367,NA,NA,NA,NA,NA,NA,181,21,7468,2019-09-29
"25","States","Mississippi",2019,40,NA,1.93891,NA,NA,NA,NA,NA,NA,365,45,18825,2019-09-29
"26","States","Missouri",2019,40,NA,0.447427,NA,NA,NA,NA,NA,NA,16,16,3576,2019-09-29
"27","States","Montana",2019,40,NA,1.00762,NA,NA,NA,NA,NA,NA,82,38,8138,2019-09-29
"28","States","Nebraska",2019,40,NA,1.62049,NA,NA,NA,NA,NA,NA,186,65,11478,2019-09-29
"29","States","Nevada",2019,40,NA,0.867925,NA,NA,NA,NA,NA,NA,92,28,10600,2019-09-29
"30","States","New Hampshire",2019,40,NA,0.401786,NA,NA,NA,NA,NA,NA,9,13,2240,2019-09-29
"31","States","New Jersey",2019,40,NA,2.00734,NA,NA,NA,NA,NA,NA,667,41,33228,2019-09-29
"32","States","New Mexico",2019,40,NA,0.91895,NA,NA,NA,NA,NA,NA,211,52,22961,2019-09-29
"33","States","New York",2019,40,NA,0.865685,NA,NA,NA,NA,NA,NA,518,131,59837,2019-09-29
"34","States","North Carolina",2019,40,NA,1.08263,NA,NA,NA,NA,NA,NA,1202,157,111026,2019-09-29
"35","States","North Dakota",2019,40,NA,0.920162,NA,NA,NA,NA,NA,NA,34,13,3695,2019-09-29
"36","States","Ohio",2019,40,NA,0.616381,NA,NA,NA,NA,NA,NA,118,46,19144,2019-09-29
"37","States","Oklahoma",2019,40,NA,1.35709,NA,NA,NA,NA,NA,NA,131,28,9653,2019-09-29
"38","States","Oregon",2019,40,NA,1.0924,NA,NA,NA,NA,NA,NA,467,95,42750,2019-09-29
"39","States","Pennsylvania",2019,40,NA,0.922017,NA,NA,NA,NA,NA,NA,487,125,52819,2019-09-29
"40","States","Rhode Island",2019,40,NA,0.140801,NA,NA,NA,NA,NA,NA,9,23,6392,2019-09-29
"41","States","South Carolina",2019,40,NA,2.03774,NA,NA,NA,NA,NA,NA,243,25,11925,2019-09-29
"42","States","South Dakota",2019,40,NA,0.665014,NA,NA,NA,NA,NA,NA,110,30,16541,2019-09-29
"43","States","Tennessee",2019,40,NA,1.59221,NA,NA,NA,NA,NA,NA,695,87,43650,2019-09-29
"44","States","Texas",2019,40,NA,2.1399,NA,NA,NA,NA,NA,NA,640,115,29908,2019-09-29
"45","States","Utah",2019,40,NA,1.48896,NA,NA,NA,NA,NA,NA,311,53,20887,2019-09-29
"46","States","Vermont",2019,40,NA,0.867052,NA,NA,NA,NA,NA,NA,48,17,5536,2019-09-29
"47","States","Virginia",2019,40,NA,1.70235,NA,NA,NA,NA,NA,NA,1691,151,99333,2019-09-29
"48","States","Washington",2019,40,NA,0.968318,NA,NA,NA,NA,NA,NA,206,46,21274,2019-09-29
"49","States","West Virginia",2019,40,NA,0.854292,NA,NA,NA,NA,NA,NA,143,56,16739,2019-09-29
"50","States","Wisconsin",2019,40,NA,0.898354,NA,NA,NA,NA,NA,NA,232,45,25825,2019-09-29
"51","States","Wyoming",2019,40,NA,1.1875,NA,NA,NA,NA,NA,NA,57,20,4800,2019-09-29
"52","States","Commonwealth of the Northern Mariana Islands",2019,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-29
"53","States","Puerto Rico",2019,40,NA,8.41338,NA,NA,NA,NA,NA,NA,254,7,3019,2019-09-29
"54","States","Virgin Islands",2019,40,NA,1.4218,NA,NA,NA,NA,NA,NA,12,4,844,2019-09-29
"55","States","New York City",2019,40,NA,1.56645,NA,NA,NA,NA,NA,NA,1543,80,98503,2019-09-29
"56","States","Alabama",2019,41,NA,1.8918,NA,NA,NA,NA,NA,NA,862,97,45565,2019-10-06
"57","States","Alaska",2019,41,NA,2.3322,NA,NA,NA,NA,NA,NA,123,18,5274,2019-10-06
"58","States","Arizona",2019,41,NA,1.19067,NA,NA,NA,NA,NA,NA,144,28,12094,2019-10-06
"59","States","Arkansas",2019,41,NA,1.87593,NA,NA,NA,NA,NA,NA,101,15,5384,2019-10-06
"60","States","California",2019,41,NA,1.51557,NA,NA,NA,NA,NA,NA,830,115,54765,2019-10-06
"61","States","Colorado",2019,41,NA,2.51736,NA,NA,NA,NA,NA,NA,957,70,38016,2019-10-06
"62","States","Connecticut",2019,41,NA,1.57002,NA,NA,NA,NA,NA,NA,662,80,42165,2019-10-06
"63","States","Delaware",2019,41,NA,0.0737463,NA,NA,NA,NA,NA,NA,1,6,1356,2019-10-06
"64","States","District of Columbia",2019,41,NA,1.47099,NA,NA,NA,NA,NA,NA,215,5,14616,2019-10-06
"65","States","Florida",2019,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06
"66","States","Georgia",2019,41,NA,2.43887,NA,NA,NA,NA,NA,NA,1900,92,77905,2019-10-06
"67","States","Hawaii",2019,41,NA,2.00793,NA,NA,NA,NA,NA,NA,76,21,3785,2019-10-06
"68","States","Idaho",2019,41,NA,0.551572,NA,NA,NA,NA,NA,NA,10,7,1813,2019-10-06
"69","States","Illinois",2019,41,NA,1.63321,NA,NA,NA,NA,NA,NA,1153,178,70597,2019-10-06
"70","States","Indiana",2019,41,NA,1.11703,NA,NA,NA,NA,NA,NA,65,26,5819,2019-10-06
"71","States","Iowa",2019,41,NA,0.788927,NA,NA,NA,NA,NA,NA,57,19,7225,2019-10-06
"72","States","Kansas",2019,41,NA,1.24696,NA,NA,NA,NA,NA,NA,169,30,13553,2019-10-06
"73","States","Kentucky",2019,41,NA,1.00082,NA,NA,NA,NA,NA,NA,110,35,10991,2019-10-06
"74","States","Louisiana",2019,41,NA,4.39856,NA,NA,NA,NA,NA,NA,2356,98,53563,2019-10-06
"75","States","Maine",2019,41,NA,0.894029,NA,NA,NA,NA,NA,NA,143,55,15995,2019-10-06
"76","States","Maryland",2019,41,NA,1.44965,NA,NA,NA,NA,NA,NA,734,73,50633,2019-10-06
"77","States","Massachusetts",2019,41,NA,1.0167,NA,NA,NA,NA,NA,NA,599,73,58916,2019-10-06
"78","States","Michigan",2019,41,NA,0.924962,NA,NA,NA,NA,NA,NA,231,76,24974,2019-10-06
"79","States","Minnesota",2019,41,NA,2.33836,NA,NA,NA,NA,NA,NA,183,21,7826,2019-10-06
"80","States","Mississippi",2019,41,NA,2.03907,NA,NA,NA,NA,NA,NA,357,46,17508,2019-10-06
"81","States","Missouri",2019,41,NA,0.35482,NA,NA,NA,NA,NA,NA,12,16,3382,2019-10-06
"82","States","Montana",2019,41,NA,0.799842,NA,NA,NA,NA,NA,NA,81,40,10127,2019-10-06
"83","States","Nebraska",2019,41,NA,1.85789,NA,NA,NA,NA,NA,NA,211,67,11357,2019-10-06
"84","States","Nevada",2019,41,NA,0.819311,NA,NA,NA,NA,NA,NA,93,31,11351,2019-10-06
"85","States","New Hampshire",2019,41,NA,0.186047,NA,NA,NA,NA,NA,NA,4,13,2150,2019-10-06
"86","States","New Jersey",2019,41,NA,2.03954,NA,NA,NA,NA,NA,NA,653,41,32017,2019-10-06
"87","States","New Mexico",2019,41,NA,1.12857,NA,NA,NA,NA,NA,NA,260,50,23038,2019-10-06
