date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-09-29,AL,,,,1.97633,,,,,,,,,
2019-09-29,AK,,,,1.04516,,,,,,,,,
2019-09-29,AZ,,,,1.0662,,,,,,,,,
2019-09-29,AR,,,,1.19323,,,,,,,,,
2019-09-29,CA,,,,1.3606200000000002,,,,,,,,,
2019-09-29,CO,,,,2.48564,,,,,,,,,
2019-09-29,CT,,,,1.24979,,,,,,,,,
2019-09-29,DE,,,,0.0,,,,,,,,,
2019-09-29,FL,,,,,,,,,,,,,
2019-09-29,GA,,,,2.36053,,,,,,,,,
2019-09-29,HI,,,,2.01058,,,,,,,,,
2019-09-29,ID,,,,0.6153850000000001,,,,,,,,,
2019-09-29,IL,,,,1.41375,,,,,,,,,
2019-09-29,IN,,,,0.949495,,,,,,,,,
2019-09-29,IA,,,,0.8759120000000001,,,,,,,,,
2019-09-29,KS,,,,0.8936799999999999,,,,,,,,,
2019-09-29,KY,,,,1.24969,,,,,,,,,
2019-09-29,LA,,,,4.23665,,,,,,,,,
2019-09-29,ME,,,,0.8228340000000001,,,,,,,,,
2019-09-29,MD,,,,1.26484,,,,,,,,,
2019-09-29,MA,,,,0.934375,,,,,,,,,
2019-09-29,MI,,,,0.797603,,,,,,,,,
2019-09-29,MN,,,,2.42367,,,,,,,,,
2019-09-29,MS,,,,1.93891,,,,,,,,,
2019-09-29,MO,,,,0.447427,,,,,,,,,
2019-09-29,MT,,,,1.0076200000000002,,,,,,,,,
2019-09-29,NE,,,,1.62049,,,,,,,,,
2019-09-29,NV,,,,0.867925,,,,,,,,,
2019-09-29,NH,,,,0.401786,,,,,,,,,
2019-09-29,NJ,,,,2.00734,,,,,,,,,
2019-09-29,NM,,,,0.91895,,,,,,,,,
2019-09-29,NY,,,,0.865685,,,,,,,,,
2019-09-29,NC,,,,1.08263,,,,,,,,,
2019-09-29,ND,,,,0.920162,,,,,,,,,
2019-09-29,OH,,,,0.6163810000000001,,,,,,,,,
2019-09-29,OK,,,,1.35709,,,,,,,,,
2019-09-29,OR,,,,1.0924,,,,,,,,,
2019-09-29,PA,,,,0.922017,,,,,,,,,
2019-09-29,RI,,,,0.140801,,,,,,,,,
2019-09-29,SC,,,,2.0377400000000003,,,,,,,,,
2019-09-29,SD,,,,0.665014,,,,,,,,,
2019-09-29,TN,,,,1.59221,,,,,,,,,
2019-09-29,TX,,,,2.1399,,,,,,,,,
2019-09-29,UT,,,,1.48896,,,,,,,,,
2019-09-29,VT,,,,0.867052,,,,,,,,,
2019-09-29,VA,,,,1.70235,,,,,,,,,
2019-09-29,WA,,,,0.968318,,,,,,,,,
2019-09-29,WV,,,,0.854292,,,,,,,,,
2019-09-29,WI,,,,0.8983540000000001,,,,,,,,,
2019-09-29,WY,,,,1.1875,,,,,,,,,
2019-10-06,AL,,,,1.8918,,,,,,,,,
2019-10-06,AK,,,,2.3322,,,,,,,,,
2019-10-06,AZ,,,,1.19067,,,,,,,,,
2019-10-06,AR,,,,1.87593,,,,,,,,,
2019-10-06,CA,,,,1.51557,,,,,,,,,
2019-10-06,CO,,,,2.51736,,,,,,,,,
2019-10-06,CT,,,,1.57002,,,,,,,,,
2019-10-06,DE,,,,0.07374630000000001,,,,,,,,,
2019-10-06,FL,,,,,,,,,,,,,
2019-10-06,GA,,,,2.43887,,,,,,,,,
2019-10-06,HI,,,,2.00793,,,,,,,,,
2019-10-06,ID,,,,0.5515720000000001,,,,,,,,,
2019-10-06,IL,,,,1.63321,,,,,,,,,
2019-10-06,IN,,,,1.11703,,,,,,,,,
2019-10-06,IA,,,,0.788927,,,,,,,,,
2019-10-06,KS,,,,1.24696,,,,,,,,,
2019-10-06,KY,,,,1.00082,,,,,,,,,
2019-10-06,LA,,,,4.39856,,,,,,,,,
2019-10-06,ME,,,,0.8940290000000001,,,,,,,,,
2019-10-06,MD,,,,1.44965,,,,,,,,,
2019-10-06,MA,,,,1.0167,,,,,,,,,
2019-10-06,MI,,,,0.924962,,,,,,,,,
2019-10-06,MN,,,,2.33836,,,,,,,,,
2019-10-06,MS,,,,2.03907,,,,,,,,,
2019-10-06,MO,,,,0.35482,,,,,,,,,
2019-10-06,MT,,,,0.799842,,,,,,,,,
2019-10-06,NE,,,,1.85789,,,,,,,,,
2019-10-06,NV,,,,0.819311,,,,,,,,,
2019-10-06,NH,,,,0.186047,,,,,,,,,
2019-10-06,NJ,,,,2.03954,,,,,,,,,
2019-10-06,NM,,,,1.12857,,,,,,,,,
2019-10-06,NY,,,,1.00583,,,,,,,,,
2019-10-06,NC,,,,1.06707,,,,,,,,,
2019-10-06,ND,,,,0.966184,,,,,,,,,
2019-10-06,OH,,,,0.668931,,,,,,,,,
2019-10-06,OK,,,,1.6426,,,,,,,,,
2019-10-06,OR,,,,1.0568799999999998,,,,,,,,,
2019-10-06,PA,,,,1.01494,,,,,,,,,
2019-10-06,RI,,,,0.372787,,,,,,,,,
2019-10-06,SC,,,,2.01056,,,,,,,,,
2019-10-06,SD,,,,0.596352,,,,,,,,,
2019-10-06,TN,,,,1.62558,,,,,,,,,
2019-10-06,TX,,,,2.54297,,,,,,,,,
2019-10-06,UT,,,,1.39894,,,,,,,,,
2019-10-06,VT,,,,0.65842,,,,,,,,,
2019-10-06,VA,,,,1.76111,,,,,,,,,
2019-10-06,WA,,,,1.20809,,,,,,,,,
2019-10-06,WV,,,,0.986125,,,,,,,,,
2019-10-06,WI,,,,1.40262,,,,,,,,,
2019-10-06,WY,,,,0.878697,,,,,,,,,
2019-10-13,AL,,,,2.20263,,,,,,,,,
2019-10-13,AK,,,,1.51976,,,,,,,,,
2019-10-13,AZ,,,,1.30135,,,,,,,,,
2019-10-13,AR,,,,2.03568,,,,,,,,,
2019-10-13,CA,,,,1.63204,,,,,,,,,
2019-10-13,CO,,,,2.5526,,,,,,,,,
2019-10-13,CT,,,,1.7939900000000002,,,,,,,,,
2019-10-13,DE,,,,0.0,,,,,,,,,
2019-10-13,FL,,,,,,,,,,,,,
2019-10-13,GA,,,,2.50838,,,,,,,,,
2019-10-13,HI,,,,2.25146,,,,,,,,,
2019-10-13,ID,,,,0.448654,,,,,,,,,
2019-10-13,IL,,,,1.744,,,,,,,,,
2019-10-13,IN,,,,0.853706,,,,,,,,,
2019-10-13,IA,,,,0.8428040000000001,,,,,,,,,
2019-10-13,KS,,,,1.28422,,,,,,,,,
2019-10-13,KY,,,,1.41443,,,,,,,,,
2019-10-13,LA,,,,4.8224300000000015,,,,,,,,,
2019-10-13,ME,,,,0.935829,,,,,,,,,
2019-10-13,MD,,,,1.34313,,,,,,,,,
2019-10-13,MA,,,,1.05407,,,,,,,,,
2019-10-13,MI,,,,0.947571,,,,,,,,,
2019-10-13,MN,,,,2.21124,,,,,,,,,
2019-10-13,MS,,,,2.07059,,,,,,,,,
2019-10-13,MO,,,,0.5616399999999999,,,,,,,,,
2019-10-13,MT,,,,0.682563,,,,,,,,,
2019-10-13,NE,,,,2.30471,,,,,,,,,
2019-10-13,NV,,,,1.22039,,,,,,,,,
2019-10-13,NH,,,,0.4162810000000001,,,,,,,,,
