"date","state","unweighted_ili","state_pos","region_pos","hybrid_pos","region.x","ILIp","flu_av7","flu_per_cap_av7","mask_av7","rr_av7","gp_av7","park_av7","transit_av7","work_av7","resid_av7","school_av7","elderly_av7","mask_policy_av7"
2019-09-29,"AL",1.97633,2.93,2.12496,2.93,4,0.00057906469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"AK",1.04516,NA,1.44425,1.44425,10,0.000150947233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"AZ",1.0662,0.72,1.72777,0.72,9,7.67664e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"AR",1.19323,0,2.59933,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"CA",1.36062,1.58,1.72777,1.58,9,0.00021497796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"CO",2.48564,0.44,1.36612,0.44,8,0.00010936816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"CT",1.24979,0.21,0.373483,0.21,1,2.624559e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"DE",0,2.72,0.80429,2.72,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"FL",NA,NA,2.12496,2.12496,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"GA",2.36053,2.75,2.12496,2.75,4,0.00064914575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"HI",2.01058,3.55,1.72777,3.55,9,0.0007137559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"ID",0.615385,0,1.44425,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"IL",1.41375,0.97,0.497512,0.97,5,0.00013713375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"IN",0.949495,0.6,0.497512,0.6,5,5.69697e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"IA",0.875912,0,0.280112,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"KS",0.89368,0,0.280112,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"KY",1.24969,0.26,2.12496,0.26,4,3.249194e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"LA",4.23833,3.61,2.59933,3.61,6,0.00153003713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"ME",0.822834,0,0.373483,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MD",1.26484,2.94,0.80429,2.94,3,0.00037186296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MA",0.934375,0.42,0.373483,0.42,1,3.924375e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MI",0.797603,0.78,0.497512,0.78,5,6.2213034e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MN",2.42367,0,0.497512,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MS",1.93891,2.27,2.12496,2.27,4,0.00044013257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MO",0.447427,0.42,0.280112,0.42,7,1.8791934e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"MT",1.00762,2.02,1.36612,2.02,8,0.00020353924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NE",1.62049,0,0.280112,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NV",0.867925,NA,1.72777,1.72777,9,0.000149957477725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NH",0.401786,NA,0.373483,0.373483,1,1.50060240638e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NJ",2.00734,NA,0.406268,0.406268,2,8.1551800712e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NM",0.91895,0.4,2.59933,0.4,6,3.6758e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NY",0.883474,0.3,0.406268,0.3,2,2.650422e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"NC",1.08263,0.96,2.12496,0.96,4,0.00010393248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"ND",0.920162,1.69,1.36612,1.69,8,0.000155507378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"OH",0.616381,0.3,0.497512,0.3,5,1.849143e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"OK",1.35709,0,2.59933,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-29,"OR",1.0924,1.43,1.44425,1.43,10,0.0001562132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
